episode,reward,length
374,1125.0,100
375,990.0,100
376,1097.0,100
377,927.0,100
378,932.0,100
379,915.0,100
380,1162.0,100
381,937.0,100
382,1065.0,100
383,1012.0,100
384,945.0,100
385,990.0,100
386,980.0,100
387,1005.0,100
388,1025.0,100
389,1070.0,100
390,1140.0,100
391,972.0,100
392,1025.0,100
393,1150.0,100
394,950.0,100
395,1070.0,100
396,1055.0,100
397,967.0,100
398,1025.0,100
399,945.0,100
400,1035.0,100
401,1125.0,100
402,1125.0,100
403,1127.0,100
404,1185.0,100
405,1140.0,100
406,1035.0,100
407,857.0,100
408,1015.0,100
409,915.0,100
410,965.0,100
411,1040.0,100
412,995.0,100
413,1015.0,100
414,930.0,100
415,1010.0,100
416,1070.0,100
417,1015.0,100
418,955.0,100
419,1045.0,100
420,1000.0,100
421,1062.0,100
422,1002.0,100
423,1120.0,100
424,1155.0,100
425,1107.0,100
426,1027.0,100
427,1000.0,100
428,1069.0,100
429,1020.0,100
430,1070.0,100
431,1167.0,100
432,1165.0,100
433,1132.0,100
434,1160.0,100
435,992.0,100
436,990.0,100
437,1095.0,100
438,955.0,100
439,1080.0,100
440,1035.0,100
441,1077.0,100
442,1022.0,100
443,942.0,100
444,1072.0,100
445,1110.0,100
446,1115.0,100
447,1060.0,100
448,1035.0,100
449,1030.0,100
450,895.0,100
451,1092.0,100
452,1042.0,100
453,1137.0,100
454,1090.0,100
455,1090.0,100
456,970.0,100
457,1055.0,100
458,982.0,100
459,890.0,100
460,1017.0,100
461,1105.0,100
462,1017.0,100
463,1070.0,100
464,787.0,100
465,1055.0,100
466,895.0,100
467,1080.0,100
468,990.0,100
469,945.0,100
470,1100.0,100
471,1145.0,100
472,972.0,100
473,1115.0,100
474,825.0,100
475,1077.0,100
476,1065.0,100
477,1020.0,100
478,950.0,100
479,1242.0,100
480,1170.0,100
481,1140.0,100
482,1060.0,100
483,1240.0,100
484,1030.0,100
485,1080.0,100
486,1000.0,100
487,950.0,100
488,1007.0,100
489,965.0,100
490,1120.0,100
491,1077.0,100
492,1005.0,100
493,1065.0,100
494,927.0,100
495,1170.0,100
496,970.0,100
497,1077.0,100
498,841.0,100
499,1065.0,100
500,985.0,100
501,1025.0,100
502,902.0,100
503,1125.0,100
504,1132.0,100
505,1095.0,100
506,1092.0,100
507,932.0,100
508,1120.0,100
509,900.0,100
510,1070.0,100
511,917.0,100
512,1055.0,100
513,1017.0,100
514,982.0,100
515,1085.0,100
516,920.0,100
517,1120.0,100
518,1010.0,100
519,980.0,100
520,935.0,100
521,1035.0,100
522,1035.0,100
523,1130.0,100
524,1037.0,100
525,987.0,100
526,1017.0,100
527,1075.0,100
528,880.0,100
529,1160.0,100
530,975.0,100
531,1080.0,100
532,1115.0,100
533,1072.0,100
534,1025.0,100
535,1055.0,100
536,1015.0,100
537,1080.0,100
538,1027.0,100
539,1015.0,100
540,1067.0,100
541,1000.0,100
542,1095.0,100
543,1137.0,100
544,1082.0,100
545,1150.0,100
546,1105.0,100
547,1100.0,100
548,1055.0,100
549,1085.0,100
550,1005.0,100
551,1120.0,100
552,1065.0,100
553,1047.0,100
554,995.0,100
555,1165.0,100
556,1037.0,100
557,1180.0,100
558,1070.0,100
559,1002.0,100
560,1085.0,100
561,874.0,100
562,1085.0,100
563,995.0,100
564,935.0,100
565,1000.0,100
566,1120.0,100
567,1015.0,100
568,955.0,100
569,987.0,100
570,1097.0,100
571,1102.0,100
572,1220.0,100
573,1160.0,100
574,1030.0,100
575,990.0,100
576,1005.0,100
577,1095.0,100
578,937.0,100
579,990.0,100
580,1047.0,100
581,1080.0,100
582,860.0,100
583,1025.0,100
584,962.0,100
585,990.0,100
586,1075.0,100
587,1022.0,100
588,1220.0,100
589,1040.0,100
590,1170.0,100
591,1140.0,100
592,857.0,100
593,947.0,100
594,972.0,100
595,1055.0,100
596,1025.0,100
597,1090.0,100
598,1070.0,100
599,1042.0,100
600,1010.0,100
601,1115.0,100
602,1060.0,100
603,1147.0,100
604,1012.0,100
605,850.0,100
606,1079.0,100
607,1080.0,100
608,1065.0,100
609,962.0,100
610,854.0,100
611,1145.0,100
612,1030.0,100
613,1200.0,100
614,1070.0,100
615,1020.0,100
616,1015.0,100
617,1060.0,100
618,1022.0,100
619,1115.0,100
620,1045.0,100
621,909.0,100
622,1084.0,100
623,1045.0,100
624,1135.0,100
625,1110.0,100
626,1097.0,100
627,1050.0,100
628,932.0,100
629,1030.0,100
630,905.0,100
631,1060.0,100
632,1075.0,100
633,1055.0,100
634,1094.0,100
635,1005.0,100
636,1070.0,100
637,1050.0,100
638,1030.0,100
639,1107.0,100
640,1085.0,100
641,955.0,100
642,900.0,100
643,940.0,100
644,992.0,100
645,1035.0,100
646,1105.0,100
647,975.0,100
648,1052.0,100
649,925.0,100
650,957.0,100
651,1022.0,100
652,1020.0,100
653,970.0,100
654,960.0,100
655,995.0,100
656,875.0,100
657,1015.0,100
658,1085.0,100
659,927.0,100
660,972.0,100
661,1190.0,100
662,1005.0,100
663,982.0,100
664,1145.0,100
665,1020.0,100
666,992.0,100
667,932.0,100
668,1045.0,100
669,985.0,100
670,1025.0,100
671,1100.0,100
672,1100.0,100
673,990.0,100
674,1040.0,100
675,1055.0,100
676,1020.0,100
677,940.0,100
678,1069.0,100
679,1122.0,100
680,1050.0,100
681,1065.0,100
682,1035.0,100
683,1085.0,100
684,1150.0,100
685,1197.0,100
686,1050.0,100
687,1042.0,100
688,1060.0,100
689,957.0,100
690,1087.0,100
691,850.0,100
692,1005.0,100
693,1120.0,100
694,1067.0,100
695,1095.0,100
696,1145.0,100
697,905.0,100
698,985.0,100
699,970.0,100
700,985.0,100
701,1075.0,100
702,1150.0,100
703,1047.0,100
704,1055.0,100
705,1047.0,100
706,990.0,100
707,901.0,100
708,1135.0,100
709,1077.0,100
710,962.0,100
711,1150.0,100
712,1020.0,100
713,1147.0,100
714,912.0,100
715,1165.0,100
716,1120.0,100
717,920.0,100
718,1045.0,100
719,1020.0,100
720,960.0,100
721,1014.0,100
722,1115.0,100
723,1030.0,100
724,1050.0,100
725,1105.0,100
726,985.0,100
727,1167.0,100
728,1095.0,100
729,955.0,100
730,1010.0,100
731,1117.0,100
732,1065.0,100
733,1015.0,100
734,887.0,100
735,917.0,100
736,1037.0,100
737,990.0,100
738,992.0,100
739,1100.0,100
740,1072.0,100
741,1120.0,100
742,977.0,100
743,1185.0,100
744,1130.0,100
745,975.0,100
746,1057.0,100
747,1010.0,100
748,1035.0,100
749,1010.0,100
750,1070.0,100
751,1000.0,100
752,952.0,100
753,1000.0,100
754,914.0,100
755,1045.0,100
756,1055.0,100
757,855.0,100
758,1090.0,100
759,1010.0,100
760,912.0,100
761,1105.0,100
762,1095.0,100
763,1077.0,100
764,982.0,100
765,1150.0,100
766,1085.0,100
767,1105.0,100
768,990.0,100
769,1005.0,100
770,1150.0,100
771,1152.0,100
772,1092.0,100
773,1170.0,100
774,820.0,100
775,1195.0,100
776,947.0,100
777,762.0,100
778,1150.0,100
779,1032.0,100
780,1155.0,100
781,1005.0,100
782,1097.0,100
